id,input,aspect,label
4,That sucks to hear I hate days like that,negative,sucks
8,Is sad when peoples phones are dead,negative,sad
22,gonna have a lazy day today,negative,lazy
24,httptwitpiccom3ernb Loving The Jumper,positive,Loving
31,LUCY IS HATING ON MY GWEG,negative,HATING
38,oh no say it aint so,negative,no
39,Great planning app reliable and easy to use,positive,Great
42,Helpful to visualize recurring events on Google calendar,positive,Helpful
47,waking now so lazy and very worry,negative,worry
51,Dam only 5 votes not gonna win anything now,negative,win
53,Loving Lego Indiana Jones A gameresearching aracheologists dream,positive,Loving
54,Download movie Ben 10 Alien Force httptinyurlcomczb7b2 cool movie,positive,cool
57,Stu is actually SEVERLY sunburntit hurts,negative,sunburnt
59,My TI89 died I dont know why,negative,died
73,OMG Madness Just Came On The Radio,negative,Madness
77,hope u did alright on the final,positive,hope
95,Thanks for the link Geoff,positive,Thanks
126,no labels Sorry I know Im really needy,negative,needy
135,Ok first assesment of the kindle2 it fucking rocks,positive,rocks
141,i know i suck my data plan is weak sauce,negative,suck
151,My cucumber has gone limp,negative,limp
157,love it Cant wait for it to do even more,positive,love
160,Sensation Ocean of White Portugal absolutely amazing Adoreiii,positive,amazing
164,oh sorry to hear about this too sad,negative,sad
178,Laying on my bed ONE spot smells like vanilla awesome,positive,awesome
179,lol that was a great movie,positive,great
203,yankees won mets lost its a good day,positive,good
204,Well that is just completely lame Im sorry dude,negative,lame
206,Sometimes knowledge is not a good thing httpdiggcomd1sPp7,negative,not
210,i looked all cute too,positive,cute
220,Long todo list Little desire to do it all,negative,desire
223,learn to fly higher httptinyurlcom30tools,positive,fly
233,30439 I really wish I could go,positive,wish
242,wish u was in the D,positive,wish
244,Have a headache Im going to bed Goodnight,negative,headache
248,Chilling outnow the boys have gone Time To Relax,positive,Relax
251,oh my now im offended ha,negative,offended
261,Math review Im going to fail the exam,negative,fail
262,omgoodness FINALLY back from dinner with the fam bam,positive,finally
265,Where DO you get all those wonderful toys,positive,wonderful
273,I cant upload a picture Everythings too big,negative,big
278,thanks to for becoming a follower,positive,thanks
280,wow I see a MrB obsession in you,positive,obsession
284,Well hopefully Ill see you both at the conference,positive,hopefully
285,What a dreary rainy crappy day,negative,crappy
294,battery is low boooooooo in Palm Springs CA httplooptus2SljBwt,negative,boooooooo
297,i woke him up in the end Got bored,negative,bored
304,gonna get a tan i am so white,negative,white
305,no watching The Night At The Museum Getting Really Good,positive,Good
310,apparently were not as good as the Brazillians tho,negative,not
311,has plopped TWICE TWICE httpplurkcompsvs0y,negative,plopped
313,This porridge tastes I cba with today man,negative,tastes
317,Happy mothers day everyone still playing pet society,positive,Happy
323,in class sick and hungry,negative,sick
326,had a great night with friends,positive,great
329,Sorry that was a bit negative,negative,negative
333,I work for Disneynot all its cracked up ta be,negative,cracked
335,I am trying to figure out how to use Twitter,positive,trying
341,Good luck you I want new shoes Ly x,positive,Good
355,Bank Holiday Brunch With all the fixins Absolutely fantastic,positive,fantastic
366,Now have an unpleasant talk wnlaws 2 look 4ward 2,negative,unpleasant
375,Watching Ryann Gonna be a grand day,positive,grand
377,Have fun amorsote even tho u forgot my bday,positive,fun
381,Just read up on your Mom Hope shes okay,positive,Hope
385,Gettin some fuel too bad no one is reading this,negative,bad
392,I dunnoI thought I was funny,negative,dunno
393,Happy Mothers Day mommy and grandma haha ily,positive,Happy
395,AHHHHHHHHI cant get miley to notice me,negative,notice
396,dont get to see my boys tomorrowwim sad,negative,sad
397,feeling sick headache bored tireddd,negative,sick
401,very nicei cleared my head,positive,nice
410,we tried to DM you but your not following us,negative,not
412,eating my titos home made ice cream yum,positive,yum
413,woop rehearsing songs Yep sounds even enough to me,positive,woop
414,ohhhh how sadI didnt get it,negative,sad
431,Hey where my left She never respond bacc,negative,respond
439,still no class loaders or even custom assembly loaders,negative,no
440,cunning I gotta go to my cousins grad party,positive,cousin
441,cool your too good to me you know,positive,good
453,ah you say the nicest things,positive,nicest
461,Cant put in anything in app,negative,cant
466,I got me a little too much sun today,negative,too
467,i wanna leave work already Not feelin it 2day,negative,leave
478,not you me just drank too much,negative,drank
481,Second day of usuing Above my spectation,positive,Above
488,Reading my kindle2 Love it Lee childs is good read,positive,Love
490,Reminder feature is not working,negative,not
491,i just watched Marley Mei cried so hard,negative,cried
496,morning hope u r well im off to bed soon,positive,hope
498,httptwitpiccom67x7n MISS THEM ALREADY,negative,MISS
499,Working I cant wait till 430 Funeral on monday,negative,funeral
509,So true Donna Wish you a joyfull sunday Siddy,positive,joyfull
518,oh joy We have the Elmo potty video too,positive,joy
537,Aaaaw no Are the windows open and that,negative,no
544,DotA is an addictioni waste 67 hours playing dota,negative,addiction
553,have a lok at EF too they are jummy,positive,jummy
563,Bad day just got worse,negative,worse
564,em app ra bai ardham ai sasthaledhu,negative,sasthaledhu
567,Hmmm My whole body feels sore,negative,sore
575,But I have cause I missed a lot of classes,negative,missed
582,Good to know Im not alone in my confusion,positive,Good
583,is frustrated by twittermy picture will not load,negative,frustrated
585,are you are a RIOT,negative,RIOT
586,sorry to hear that Is is a 365,negative,sorry
596,relaxing night at home with best people,positive,relaxing
602,Jonas brothers concert was greaattt,positive,greaattt
625,Time ticking by sooo sloooooooooowlyyyyyyyyyyyyy,negative,sloooooooooowlyyyyyyyyyyyyy
632,Literally I am blessed to know Todoist,positive,blessed
633,The application is as I wanted it,positive,wanted
638,bug68 Bill is super Thanks you,positive,super
641,awe gotta go my mom commands me to sleep already,negative,commands
645,it was jokes me love the magreally,positive,love
651,I broke up with Christian Bale when he played Batman,negative,broke
657,tiiiired but i cant sleep,negative,tired
661,Woo CAVS Happy Mothers Day,positive,Happy
667,Stressed out fro work and having a drink,negative,Stressed
672,msning no school shouldnt there be more bank holidays x,positive,school
691,Spent the last hour signing yearbooks Ill miss you guys,negative,miss
702,Very good no ads are seen using from 3 days,positive,good
706,OMGoodness back to school soon FUN,positive,FUN!
713,yessir that is 100 right,positive,yessir
721,I Burned My legs x,negative,Burned
726,Congrats on the tax refund Those are always nice,positive,Congrats
729,told you you would sweep haha p,positive,sweep
733,so tired i didnt sleep well at all last night,negative,tired
736,Alright sorry But I think you should go anyways,negative,sorry
737,okay thank you i cant find it,positive,thank
745,i love his nose kisses,positive,love
746,someone has hacked into my emails off,negative,****
755,Brian is teaching me soccer Lots of fun,positive,fun
759,Great makes you organise your life,positive,Great
761,mrskutcher aplusk you two are to funny,positive,funny
788,good now lets go get this done wwwHennesseyBlackcom,positive,good
801,Though I would love to see it make improvements,positive,love
802,gooooonight twitter i hope im better tomorrow,positive,hope
814,httptwitpiccom4jazs Congratulations You two are adorable Beautiful ring too,positive,Congratulations
828,curses the Twitter API limit,negative,curses
842,im back to this zindex problemagain,negative,problem
843,This app doesnt open at all,negative,doesnt
845,nicks voice still makes me wanna kill things,negative,kill
852,Ha good morning May the fourth be with you too,positive,good
872,GOODNiGHTHAPPY MOTHERS DAY TO ALL THE MAMiS ON TWiTTER,positive,HAPPY
874,my phone is dead this sucks,negative,sucks
881,Rise and shine Time to get prettifide,positive,prettifide
882,TODAY WAS SOO FUN happy bday chrissy 3,positive,fun
895,OMG you arent online Shock horror,negative,Shock
909,Thanks for the follow my new Twitpeeps,negative,Thanks
914,hahayeah10th of Maylolim greeting in advance haha,positive,haha
915,LOL dont mention it my pleasure,positive,pleasure
922,whaaaaaat oh no why didnt I know you were here,negative,no
925,YIKEYSSS IM HARMLESS REALLY JUST WANT SOME ATTENTION FROM BRODY,positive,YIKEYSSS
941,Subscription required just to set a reminder,negative,required
944,Oh you poor thing So sorry babe,negative,poor
947,good luck chan gue kmrn bawa backpack kosong quite helping,positive,good
948,Little brothers being funny Congrats on the engagement httptinyurlcomcv5nw8,positive,Congrats
951,Haha Hey you should check out Love herhis tweets,positive,Love
953,Eat it its good for you,positive,good
958,Please extend the beta program with more seats,positive,extend
959,sl happy sunday to you to,positive,happy
964,Going to work Could use some happy pills,positive,happy
969,Aw one of our fishies died,negative,died
974,i have much to learn,positive,learn
987,looks to be a great morning already,positive,great
996,httptwitpiccom4wbn6 my hubby and his adoarble baby brother,positive,adorable
997,hand Oops I completely forgot,negative,forgot
1002,Welcome They are beautiful snow leopards,positive,beautiful
1012,Reminder didnt work on Vivo,negative,didnt
1013,AWW Thank you honey Didja get mommy a daddy,positive,honey
1017,I wish I was able to talk to you,positive,wish
1019,This heartburn may be the death of me,negative,death
1021,Sad babies make for angsty writing,negative,Sad
1027,not working in my phone,negative,not
1028,Panera is not being nice to my iPhone,negative,not
1039,good as cya in melbourne,positive,good
1048,bahah sadly I am not,negative,sadly
1057,This cigarette is so relaxing,positive,relaxing
1069,Heeey we won ice hockeywe are winners,positive,winners
1071,gah no money at least not for bakugan,negative,no
1072,dont get too excited bby i hear thunder rolling in,negative,thunder
1086,why you never answer me,negative,never
1088,good morning Got to be afternoon in Germany,positive,good
1090,What a burden Abit of a fail lunch with Dan,negative,burden
1096,This app is awesome Makes tasks fun,positive,awesome
1101,I enjoy the countdown to my next event Very helpful,positive,enjoy
1111,i hope my morning show doesnt get cancelled,positive,hope
1114,Not allowing me to delete my account,negative,delete
1119,people with mustaches get super powers and mustaches no fair,negative,unfair
1122,Tonight was fun Love my girl Tanna,positive,Love
1125,omg i am in so much pain ouchies,negative,pain
1130,ugh headache i just wanna go home,negative,ugh
1131,They never cease to amaze me,positive,amaze
1146,Very rewarding Enjoyable past time,positive,rewarding
1152,in buchers class i cried too,negative,cried
1160,Me gusta Es para quitar el vicio,positive,gusta
1164,finally Mike0hhs birthday 3 cant wait to ruin it,negative,ruin
1167,LOCA thank you babe What are you doin this evening,positive,babe
1173,very nice app for phone addicted,positive,nice
1174,Daddy just leftwithout me httpyfrogcom13pdrmj,negative,left
1187,good mornineverybody happy mothersday to every mom,positive,happy
1188,ROFLMFAO You love us better dont you,positive,love
1189,Just the mother of all bad days,negative,bad
1200,Happy Meal BOB toy httptinyurlcomcjtqaf,positive,Happy
1201,My siblings left me alone Bored,negative,Alone
1214,HAPPY MOTHERS DAY 2 ME,positive,HAPPY
1218,Nice app but pls include better sounds,positive,Nice
1223,andjay hi your job,negative,job
1226,dont go im sorry for disappointing you,negative,sorry
1229,sad dayLakers please make me happy with a W,negative,sad
1231,wow I love it thanks,positive,love
1241,this traffic is ridiculous im may not make it,negative,ridiculous
1250,always3 okay well thank you you are so beautiful too,positive,beautiful
1261,today got her POP tshirt lovess ittt haha x,positive,lovess
1264,Hahahahahahahaha hope so I hope youll like it,positive,hope
1266,httptwitpiccom4wsue yeah well thanks blushes,positive,blushes
1268,Morning all Something for the weekend and leftover dominos Noiiiiice,positive,Noiiiiice
1277,Watson I cant this weekend sorry And Steph is working,negative,sorry
1279,Oh no Dead muffins how sad,negative,sad
1287,twist86 is picking up,positive,picking
1291,Pug just woke me from an incredible sleep,negative,woke
1302,Most of the things are paid,negative,paid
1317,Feeling so low and depressed that Im not on holiday,negative,depressed
1323,nice to see you on twitter,positive,nice
1329,httptwitpiccom5h3ad And Brazil WE LOVE YOU TOO,positive,LOVE
1331,offically in DC missing my numero uno,negative,missing
1340,Why does it take so long to install SBS2008,negative,long
1345,Sadly no robot songs in my library,negative,Sadly
1358,Yep Nothing to worry about,positive,Yep.
1360,i feel like dyeing right now,negative,dyeing
1385,me because I might not have enough money for college,negative,money
1393,thanks to follow have a nice rest,positive,thanks
1399,I am sad that my kids were ungrateful today,negative,sad
1407,Roxy was right This palmade stuffs pretty cool,positive,cool
1417,cool idea but it forces you to use Google calendar,negative,forces
1428,I just wanna be better already,positive,better
1432,Sooo much work so little time,negative,work
1438,unfortunately noy my life suck this year,negative,suck
1452,dont know why so tired today bye time for beddy,negative,tired
1456,ooo my goddddd vodafone trouble no network,negative,trouble
1462,hope you have a good flight,positive,hope
1463,ahh big scary bug flying around my room,negative,scary
1464,Looks like my Twitter is down,negative,down
1465,Cavs has the easier route than Denver,positive,easier
1467,YM meebo ebuddy really hate us,negative,hate
1481,Pretty good Great graphics as well,positive,Great
1493,it was ok Cute times,positive,Cute
1505,i wish my drems could come true,positive,wish
1516,hate working when its sunnyboohoo,negative,hate
1517,Love it to keep track of my projects,positive,Love
1532,Tweet I am up to 10000 tweets,positive,up
1534,homeee my feet are sore,negative,sore
1540,He still doesnt love me I wont ask again,negative,love
1542,My sleeping beauties I love my grads httptwitpiccom4we5w,positive,love
1549,my cheeeks hurt so bad what happened,negative,hurt
1552,happy mothers day to all you mums out there,negative,mums
1555,Happy Mothers Day Mama bear,positive,Happy
1567,Ahhhhh My Let The Right One In DVD broke,negative,broke
1572,dang i miss you goodnight,negative,miss
1585,just listened to the songs on your myspace really good,positive,good
1586,Can you add time in notes also like events,positive,add
1590,httptwitpiccom677bi IVA i already miss yoo my sweet,negative,miss
1600,Going to sleep now goodnight xoxo,positive,goodnight
1616,ims What is ATampT fucking up,negative,fucking
1618,wats up with the racism in australia Its not nice,negative,racism
