id,input,aspect,label
0,hide new secretions from the parental units ,negative,hide
1,"contains no wit , only labored gags ",negative,labored
3,remains utterly satisfied to remain the same throughout ,negative,utterly
8,a depressed fifteen-year-old 's suicidal poetry ,negative,suicidal
12,"the part where nothing 's happening , ",negative,nothing
14,lend some dignity to a dumb story ,negative,dumb
17,with his usual intelligence and subtlety ,positive,intelligence
20,equals the original and in some ways even betters it ,positive,betters
23,"comes from the brave , uninhibited performances ",positive,brave
24,excruciatingly unfunny and pitifully unromantic ,negative,excruciatingly
28,very good viewing alternative ,positive,good
33,by far the worst movie of the year ,negative,worst
38,oblivious to the existence of this film ,negative,oblivious
44,a $ 40 million version of a game ,negative,million
45,gorgeous and deceptively minimalist ,positive,gorgeous
46,cross swords with the best of them and ,positive,best
47,as a fringe feminist conspiracy theorist ,negative,fringe
54,"contrived , well-worn situations ",negative,contrived
57,to be as subtle and touching as the son 's room ,positive,touching
60,rich veins of funny stuff in this movie ,positive,funny
66,we never feel anything for these characters ,negative,feel
70,of the most highly-praised disappointments i ,negative,disappointments
74,"as a director , eastwood is off his game ",negative,off
75,pays earnest homage to turntablists ,positive,homage
78,contains very few laughs and even less surprises ,negative,negative
83,based on a true and historically significant story ,positive,significant
86,so much like a young robert deniro ,positive,young
88,fashioning an engrossing entertainment out ,positive,engrossing
93,", generous and subversive artworks ",positive,generous
105,", this gender-bending comedy is generally quite funny . ",positive,funny
110,"it 's too harsh to work as a piece of storytelling , ",negative,harsh
113,provide its keenest pleasures ,positive,pleasures
118,"unpretentious , charming , quirky , original ",positive,charming
120,very well-written and very well-acted . ,positive,well-written
121,are n't many conclusive answers in the film ,negative,aren't
137,wide-awake all the way through ,positive,wide-awake
140,is effective if you stick with it ,positive,effective
144,absolutely and completely ridiculous and ,negative,ridiculous
145,'s a very tasteful rock and roll movie . ,positive,tasteful
153,the promise of digital filmmaking ,positive,promise
158,", sometimes beautiful adaptation ",positive,beautiful
163,"most audacious , outrageous , ",positive,audacious
167,"some movies suck you in despite their flaws , ",positive,suck
168,"eats , meddles , argues , laughs , kibbitzes and fights ",positive,laughs
175,those so-so films that could have been much better ,negative,so-so
179,'s pleasant enough -- and oozing with attractive men ,positive,pleasant
182,"pokes , provokes , takes expressionistic license ",positive,expressive
184,"with color and depth , and rather a good time ",positive,good
185,"silly , outrageous , ingenious ",positive,ingenious
188,the year 's best and most unpredictable comedy ,positive,best
191,elvira fans could hardly ask for more . ,positive,more
195,lost in the translation this time ,negative,lost
201,takes chances that are bold by studio standards ,positive,bold
203,only thing to fear about `` fear dot com '' ,negative,fear
207,a résumé loaded with credits like `` girl in bar # 3 ,negative,loaded
210,"the , yes , snail-like pacing ",negative,snail-like
211,an extremely unpleasant film . ,negative,unpleasant
214,are all things we 've seen before ,negative,seen
219,bewilderingly brilliant and entertaining ,positive,brilliant
220,it 's smooth and professional ,positive,smooth
228,because he acts so goofy all the time ,negative,goofy
230,"'s at once laughable and compulsively watchable , ",positive,watchable
232,the value and respect for the term epic cinema ,positive,epic
236,confessions may not be a straightforward bio ,negative,not
239,this comic gem is as delightful as it is derivative . ,positive,delightful
241,ugly as the shabby digital photography ,negative,ugly
